Year,Study,Type,Species,Country,Lat,Long
2018,"Kucherenko et al., 2018",Snake,Python bivittatus,U.S.A.,25.970264,-81.735932
2018,"Wilson et al., 2018",Turtle,Batagur affinis,Malaysia,4.215871,103.309952
2016,"Cannon et al., 2016",Turtle,Terrapene carolina,U.S.A.,41.503611,-81.712222
2018,"Kundu et al., 2018",Turtle,"Nilssonia nigricans, Nilssonia gangetica, Chitra indica",India,26.724829,92.994421
2018,"Raemy and Ursenbacher, 2018",Turtle,Emys orbicularis,Switzerland,47.476008,7.663477
2016,"de Souza et al., 2016",Turtle,Sternotherus depressus,U.S.A.,33.836952,-87.063694
2016,"Lacoursiere-Roussel et al., 2016",Turtle,Glyptemys insculpta,Canada,46.169757,-74.48136
2014,"Piaggio et al., 2014",Snake,Python bivittatus,U.S.A.,25.734375,-80.414873
2018,"Baker et al., 2018",Snake,Stistrurus catenatus,U.S.A.,38.612369,-89.415695
2016,"Lacoursiere-Roussel et al., 2016",Snake,"Nerodia sipedon, Lampropeltis triangulum, Storeria occipitomaculata",Canada,46.169757,-74.48136
2017,"Halstead et al., 2017",Snake,Thamnophis gigas,U.S.A.,39.188806,-122.043775